counterfactual_effect,dataset,decision,family,holdout_ci_high,holdout_ci_low,holdout_effect,hypothesis,p_value,q_value,query,reason,split,support_holdout,support_validation,validation_effect
0.077932209418157,DiabetesReadmission,accepted,history,0.08481225285872719,0.07036069428314365,0.07795714363897507,IF x7 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_inpatient_prior = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.3540770001768764,0.33311715111137313,0.07853657219888542
-0.077932209418157,DiabetesReadmission,accepted,history,-0.07036069428314365,-0.08481225285872719,-0.07795714363897507,IF x14 = 1 THEN y = 1 decreases,0.001996007984031936,0.003297752321444068,diab_no_prior_inpatient = 1 -> P(y=1) decreases,passes all verification gates,early/middle/late encounter_id,0.6459229998231236,0.6668828488886268,-0.07853657219888542
0.06870656661168727,DiabetesReadmission,accepted,admission+history,0.08460536231971043,0.06782629611516601,0.07619691829130798,IF x7 = 1 AND x13 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_inpatient_prior = 1 AND diab_admission_emergency = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.2771652614822239,0.24429573727964152,0.06890308712109311
0.07019555508680898,DiabetesReadmission,accepted,history,0.08752552479874277,0.0626728401102322,0.07544032548725613,IF x5 = 1 AND x7 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_outpatient_prior = 1 AND diab_inpatient_prior = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.10751134956665291,0.08899829019515358,0.07113536305680845
0.05605052840005413,DiabetesReadmission,accepted,admission+history,0.07545856504547278,0.05271630677609952,0.06397083837893634,IF x6 = 1 AND x13 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_emergency_prior = 1 AND diab_admission_emergency = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.12738046105772066,0.10155651199811332,0.05531093827780288
0.05924481166591412,DiabetesReadmission,accepted,history,0.07218273094309205,0.052152180086668554,0.06195945711860121,IF x6 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_emergency_prior = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.1507576204233241,0.1311538234773893,0.05898557683460465
-0.06213552729037459,DiabetesReadmission,accepted,history,-0.054477156504875716,-0.06656938637803284,-0.06067541249016424,IF x19 = 1 THEN y = 1 decreases,0.001996007984031936,0.003297752321444068,diab_no_prior_utilization = 1 -> P(y=1) decreases,passes all verification gates,early/middle/late encounter_id,0.49478214727905195,0.5321030599610872,-0.06297449540925744
-0.04792598309533371,DiabetesReadmission,accepted,history+utilization,-0.04439879058847598,-0.0569533162229913,-0.05101024176926164,IF x14 = 1 AND x15 = 1 THEN y = 1 decreases,0.001996007984031936,0.003297752321444068,diab_no_prior_inpatient = 1 AND diab_short_stay = 1 -> P(y=1) decreases,passes all verification gates,early/middle/late encounter_id,0.22407287306172985,0.2231295324568127,-0.05286168850441407
0.07151173167987002,DiabetesReadmission,accepted,discharge,0.0522816346840477,0.03506400339704053,0.044227578361542244,IF x20 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_discharge_facility = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.22056482518719414,0.21979836094569896,0.06773345362695485
0.06243734270107588,DiabetesReadmission,accepted,admission+history,0.050467462201144564,0.02097448370042916,0.03597541642106314,IF x7 = 1 AND x21 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_inpatient_prior = 1 AND diab_admission_elective = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.06588644537468309,0.06046223689640941,0.06265552376618927
0.028471006900746006,DiabetesReadmission,accepted,history,0.03847548360473703,0.022234675230115873,0.03082569399420132,IF x5 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_outpatient_prior = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.21800011791757562,0.1828606803844113,0.028315557182806664
0.022480636011435337,DiabetesReadmission,accepted,diagnosis,0.03688638055651091,0.02356053006034802,0.030407260832404553,IF x8 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_diagnoses_ge_8 = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.7365721360768822,0.6053003950238783,0.027855485358078233
0.019868602617305695,DiabetesReadmission,accepted,diagnosis,0.041908750004416614,0.01640051550294462,0.029821934922782248,IF x30 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_primary_diabetes = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.07894581687400506,0.08442898414008608,0.021460254035430545
0.032787396877728844,DiabetesReadmission,accepted,medication,0.036453466207594855,0.022535717580238052,0.02946715861313348,IF x9 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_insulin_changed = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.30614350568952303,0.24969046636401154,0.032366678226264184
-0.02286404332067785,DiabetesReadmission,accepted,utilization,-0.01627138764814536,-0.029399321814018352,-0.02283678692808501,IF x15 = 1 THEN y = 1 decreases,0.001996007984031936,0.003297752321444068,diab_short_stay = 1 -> P(y=1) decreases,passes all verification gates,early/middle/late encounter_id,0.3257767820293615,0.311980425682448,-0.02920085102211331
0.035549651811773886,DiabetesReadmission,accepted,medication+utilization,0.03171124827452573,0.00943603547505426,0.02137449470054892,IF x1 = 1 AND x4 = 1 THEN y = 1 increases,0.001996007984031936,0.003297752321444068,diab_time_in_hospital_ge_7 = 1 AND diab_num_medications_ge_20 = 1 -> P(y=1) increases,passes all verification gates,early/middle/late encounter_id,0.11511703319379754,0.11485171864866459,0.035638893930530574
